Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Status Category,Status Category Changed
[BE-001] Standardize Backend Package Structure by Feature,BE-001,,Task,Done,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Backend Engineer
Master Task: ATC-101
Sprint: Sprint 1 - Foundation
Priority: High
Dependencies: None
Deliverable: Backend Directory Layout

Description:
Tổ chức lại cấu trúc thư mục backend Spring Boot và dọn dẹp các package thừa.

Acceptance Criteria:
Cấu trúc package backend chuẩn theo feature (auth, workspace, document, generation); không còn file mồ côi.",,,,,,,,,,,,,,,Sprint 1 - Foundation,,,Backend,,Done,
[FE-001] Initialize React Vite Frontend Project,FE-001,,Task,Done,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Frontend Engineer
Master Task: ATC-101
Sprint: Sprint 1 - Foundation
Priority: High
Dependencies: None
Deliverable: Frontend Directory Layout

Description:
Khởi tạo thư mục frontend React 18 với Vite và cấu trúc thư mục phân tầng.

Acceptance Criteria:
Thư mục frontend build sạch sẽ, sẵn sàng tích hợp design system và router.",,,,,,,,,,,,,,,Sprint 1 - Foundation,,,Frontend,,Done,
[OPS-001] Restructure Monorepo Root Layout and Workspace Scripts,OPS-001,,Task,Done,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: DevOps Engineer
Master Task: ATC-101
Sprint: Sprint 1 - Foundation
Priority: High
Dependencies: None
Deliverable: Root Scripts & .gitignore

Description:
Cập nhật đường dẫn gốc, file .gitignore và scripts điều phối monorepo.

Acceptance Criteria:
Di chuyển ai-service/ ra root độc lập; scripts dev nhận diện đúng 3 service.",,,,,,,,,,,,,,,Sprint 1 - Foundation,,,DevOps,,Done,
[QA-001] Test Multi-Service Monorepo Build Isolation,QA-001,,Task,Done,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: QA Engineer
Master Task: ATC-101
Sprint: Sprint 1 - Foundation
Priority: High
Dependencies: None
Deliverable: Monorepo Build Report

Description:
Kiểm thử độc lập quá trình build và chạy của 3 service trong monorepo.

Acceptance Criteria:
Backend, AI Service và Frontend build độc lập không bị xung đột dependency.",,,,,,,,,,,,,,,Sprint 1 - Foundation,,,Quality Assurance,,Done,
[OPS-002] Set Up Local Dev Docker Compose for PostgreSQL and MinIO,OPS-002,,Task,Done,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: DevOps Engineer
Master Task: ATC-102
Sprint: Sprint 1 - Foundation
Priority: High
Dependencies: None
Deliverable: docker-compose.dev.yml

Description:
Viết file docker-compose.dev.yml khởi tạo PostgreSQL 16 pgvector và MinIO S3 storage.

Acceptance Criteria:
Khởi chạy thành công atc-postgres, atc-minio và atc-minio-init với healthcheck hợp lệ.",,,,,,,,,,,,,,,Sprint 1 - Foundation,,,DevOps,,Done,
[QA-002] Test Local Dev Infrastructure Startup and Healthchecks,QA-002,,Task,Done,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: QA Engineer
Master Task: ATC-102
Sprint: Sprint 1 - Foundation
Priority: High
Dependencies: None
Deliverable: Infra Verification Report

Description:
Kiểm thử kết nối cổng và tính sẵn sàng của database và object storage.

Acceptance Criteria:
Cổng 5432 (Postgres), 9000/9001 (MinIO) phản hồi đúng; dữ liệu volume được bảo toàn.",,,,,,,,,,,,,,,Sprint 1 - Foundation,,,Quality Assurance,,Done,
[BE-002] Implement Flyway V1 Database Migration Schema,BE-002,,Task,Done,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Backend Engineer
Master Task: ATC-103
Sprint: Sprint 1 - Foundation
Priority: High
Dependencies: is blocked by ATC-102
Deliverable: V1__init_schema.sql

Description:
Viết script V1__init_schema.sql tạo 6 bảng chính với khóa chính UUID chuẩn hóa.

Acceptance Criteria:
Flyway tự động migrate thành công 6 bảng trên PostgreSQL; khóa chính dùng uuid-ossp.",,,,,,,,,,,,,,,Sprint 1 - Foundation,,,Backend,,Done,
[OPS-003] Configure PostgreSQL pgvector Extension Initialization,OPS-003,,Task,Done,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: DevOps Engineer
Master Task: ATC-103
Sprint: Sprint 1 - Foundation
Priority: High
Dependencies: is blocked by ATC-102
Deliverable: init-extensions.sql

Description:
Cấu hình script khởi tạo extension vector và uuid-ossp trong Docker init.

Acceptance Criteria:
Extension vector và uuid-ossp được kích hoạt tự động khi container khởi động.",,,,,,,,,,,,,,,Sprint 1 - Foundation,,,DevOps,,Done,
[QA-003] Test Flyway Migrations on PostgreSQL and H2,QA-003,,Task,Done,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: QA Engineer
Master Task: ATC-103
Sprint: Sprint 1 - Foundation
Priority: High
Dependencies: is blocked by ATC-102
Deliverable: Migration Test Report

Description:
Kiểm thử chạy migration trên PostgreSQL và tương thích test profile H2.

Acceptance Criteria:
Chạy mvnw test với profile=test pass 100% không bị lỗi cú pháp SQL.",,,,,,,,,,,,,,,Sprint 1 - Foundation,,,Quality Assurance,,Done,
[OPS-004] Configure GitHub Actions CI Workflows for All Services,OPS-004,,Task,Done,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: DevOps Engineer
Master Task: ATC-104
Sprint: Sprint 1 - Foundation
Priority: High
Dependencies: is blocked by ATC-101
Deliverable: .github/workflows/*.yml

Description:
Tạo 4 workflows CI riêng biệt kích hoạt theo đường dẫn thay đổi (paths-filter).

Acceptance Criteria:
backend-ci.yml, ai-service-ci.yml, frontend-ci.yml và ci.yml chạy đúng khi có push/PR.",,,,,,,,,,,,,,,Sprint 1 - Foundation,,,DevOps,,Done,
[QA-004] Test CI Workflow Triggers and Branch Protection Gates,QA-004,,Task,Done,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: QA Engineer
Master Task: ATC-104
Sprint: Sprint 1 - Foundation
Priority: High
Dependencies: is blocked by ATC-101
Deliverable: CI Gate Verification Report

Description:
Kiểm thử trigger CI khi tạo PR vào develop và main.

Acceptance Criteria:
CI tự động chặn merge nếu có unit test fail hoặc lint error.",,,,,,,,,,,,,,,Sprint 1 - Foundation,,,Quality Assurance,,Done,
[DES-001] Define Figma Design System & Color Tokens,DES-001,,Task,Done,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Designer
Master Task: ATC-105
Sprint: Sprint 1 - Foundation
Priority: High
Dependencies: None
Deliverable: Figma Design System

Description:
Thiết kế bộ Design System chuẩn: bảng màu HSL, typography, spacing và component primitives.

Acceptance Criteria:
Bộ Figma Design System hoàn chỉnh với đầy đủ biến màu sắc, font chữ và button states.",,,,,,,,,,,,,,,Sprint 1 - Foundation,,,Design,,Done,
[FE-002] Implement 4-Layer Frontend Architecture and CSS Tokens,FE-002,,Task,Done,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Frontend Engineer
Master Task: ATC-105
Sprint: Sprint 1 - Foundation
Priority: High
Dependencies: None
Deliverable: variables.css & Core Components

Description:
Tạo cấu trúc 4 tầng (app, core, features, shared) và cài đặt biến CSS design tokens.

Acceptance Criteria:
File variables.css chứa đủ tokens; cấu trúc thư mục tuân thủ FRONTEND_ARCHITECTURE.md.",,,,,,,,,,,,,,,Sprint 1 - Foundation,,,Frontend,,Done,
